track_id,frame_idx,cx,cy,vx,vy,cov_x,cov_y,cov_vx,cov_vy,bbox_w,bbox_h,age,time_since_update
1,21,750.5,33.0,0.0000,0.0000,0.039230,0.038516,1.000000,0.000000,21.0,36.0,22,0
1,22,750.5,33.0,0.0000,0.0000,0.039230,0.038516,1.000000,0.000000,21.0,36.0,23,0
1,23,750.5,33.0,0.0000,0.0000,0.039230,0.038516,1.000000,0.000000,21.0,36.0,24,0
1,24,750.5,33.0,0.0000,0.0000,0.039230,0.038516,1.000000,0.000000,21.0,36.0,25,0
1,25,750.5,33.0,0.0000,0.0000,0.039230,0.038516,1.000000,0.000000,21.0,36.0,26,0
1,26,750.5,33.0,0.0000,0.0000,0.039230,0.038516,1.000000,0.000000,21.0,36.0,27,0
1,27,750.5,33.0,0.0000,0.0000,0.039230,0.038516,1.000000,0.000000,21.0,36.0,28,0
1,28,750.5,33.0,0.0000,0.0000,0.039230,0.038516,1.000000,0.000000,21.0,36.0,29,0
1,29,750.5,33.0,0.0000,0.0000,0.039230,0.038516,1.000000,0.000000,21.0,36.0,30,0
1,30,750.5,33.0,0.0000,0.0000,0.039230,0.038516,1.000000,0.000000,21.0,36.0,31,0
1,31,750.5,33.0,0.0000,0.0000,0.039230,0.038516,1.000000,0.000000,21.0,36.0,32,0
1,32,750.5,33.0,0.0000,0.0000,0.039230,0.038516,1.000000,0.000000,21.0,36.0,33,0
1,33,750.5,33.0,0.0000,0.0000,0.039230,0.038516,1.000000,0.000000,21.0,36.0,34,0
1,34,750.5,33.0,0.0000,0.0000,0.039230,0.038516,1.000000,0.000000,21.0,36.0,35,0
1,35,750.5,33.0,0.0000,0.0000,0.039230,0.038516,1.000000,0.000000,21.0,36.0,36,0
1,36,750.5,33.0,0.0000,0.0000,0.039230,0.038516,1.000000,0.000000,21.0,36.0,37,0
1,37,750.5,33.0,0.0000,0.0000,0.039230,0.038516,1.000000,0.000000,21.0,36.0,38,0
1,38,750.5,33.0,0.0000,0.0000,0.039230,0.038516,1.000000,0.000000,21.0,36.0,39,0
1,39,750.5,33.0,0.0000,0.0000,0.039230,0.038516,1.000000,0.000000,21.0,36.0,40,0
1,40,750.5,33.5,0.0000,0.0000,0.039230,0.038516,1.000000,0.000000,21.0,37.0,41,0
1,41,750.5,33.5,0.0000,0.0000,0.039230,0.038516,1.000000,0.000000,21.0,37.0,42,0
1,42,750.5,33.5,0.0000,0.0000,0.039230,0.038516,1.000000,0.000000,21.0,37.0,43,0
1,43,750.5,33.5,0.0000,0.0000,0.039230,0.038516,1.000000,0.000000,21.0,37.0,44,0
1,44,750.5,33.5,0.0000,0.0000,0.039230,0.038516,1.000000,0.000000,21.0,37.0,45,0
1,45,750.5,33.5,0.0000,0.0000,0.039230,0.038516,1.000000,0.000000,21.0,37.0,46,0
1,46,750.5,33.5,0.0000,0.0000,0.039230,0.038516,1.000000,0.000000,21.0,37.0,47,0
1,47,750.5,33.5,0.0000,0.0000,0.039230,0.038516,1.000000,0.000000,21.0,37.0,48,0
1,48,750.5,33.5,0.0000,0.0000,0.039230,0.038516,1.000000,0.000000,21.0,37.0,49,0
1,49,750.5,33.5,0.0000,0.0000,0.039230,0.038516,1.000000,0.000000,21.0,37.0,50,0
1,50,750.5,33.5,0.0000,0.0000,0.039230,0.038516,1.000000,0.000000,21.0,37.0,51,0
1,51,750.5,33.5,0.0000,0.0000,0.039230,0.038516,1.000000,0.000000,21.0,37.0,52,0
1,52,750.5,33.5,0.0000,0.0000,0.039230,0.038516,1.000000,0.000000,21.0,37.0,53,0
1,53,750.5,33.5,0.0000,0.0000,0.039230,0.038516,1.000000,0.000000,21.0,37.0,54,0
1,54,750.5,33.5,0.0000,0.0000,0.039230,0.038516,1.000000,0.000000,21.0,37.0,55,0
1,55,750.5,33.5,0.0000,0.0000,0.039230,0.038516,1.000000,0.000000,21.0,37.0,56,0
1,56,750.5,33.5,0.0000,0.0000,0.039230,0.038516,1.000000,0.000000,21.0,37.0,57,0
1,57,750.5,33.5,0.0000,0.0000,0.039230,0.038516,1.000000,0.000000,21.0,37.0,58,0
1,58,750.5,33.5,0.0000,0.0000,0.039230,0.038516,1.000000,0.000000,21.0,37.0,59,0
